City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
313,sambava,38,MG,1575306849,92,-14.27,50.17,72.5,2.1
314,udachnyy,3,RU,1575306849,73,66.42,112.4,-32.8,2.24
315,lata,8,IN,1575306849,21,30.78,78.62,17.47,9.24
316,andreapol,100,RU,1575306849,93,56.65,32.27,26.8,7.11
317,monywa,41,MM,1575306850,77,22.12,95.13,70.47,3.69
318,la orilla,3,MX,1575306850,65,18.0,-102.23,86.99,3.69
319,yumen,0,CN,1575306850,47,40.29,97.04,19.24,10.56
320,cherskiy,100,RU,1575306850,96,68.75,161.3,-7.56,18.07
321,mwene-ditu,100,CD,1575306850,93,-7.01,23.45,69.17,3.74
322,bunbury,40,GB,1575306850,81,53.12,-2.65,45.0,5.82
323,osypenko,98,UA,1575306850,86,48.04,34.39,30.2,8.95
324,matay,11,EG,1575306850,40,28.42,30.79,60.22,8.7
325,biak,100,ID,1575306851,73,-0.91,122.88,82.54,3.8
326,ambon,0,FR,1575306851,81,47.55,-2.56,46.99,8.05
327,wana,0,PK,1575306851,46,32.31,69.59,35.8,2.66
328,mokhsogollokh,100,RU,1575306851,91,61.4,128.95,-24.93,4.7
329,gagra,90,GE,1575306851,93,43.29,40.27,41.0,6.71
330,wawa,100,NG,1575306851,35,9.9,4.41,84.67,1.03
331,energetik,100,RU,1575306852,92,51.74,58.8,24.26,8.19
332,soyo,20,AO,1575306852,66,-6.13,12.37,86.0,9.17
333,kavieng,26,PG,1575306852,71,-2.57,150.8,82.69,2.3
334,calbuco,75,CL,1575306852,55,-41.77,-73.13,62.6,9.17
335,severo-kurilsk,100,RU,1575306852,94,50.68,156.12,26.55,15.46
336,taoudenni,0,ML,1575306852,17,22.68,-3.98,75.65,7.83
337,along,20,IN,1575306852,86,28.17,94.8,50.09,4.85
338,nouakchott,0,MR,1575306852,57,18.08,-15.98,78.8,12.75
339,bundaberg,60,AU,1575306852,88,-24.87,152.35,72.0,11.21
340,padang,100,ID,1575306853,96,-0.92,100.36,68.07,2.77
341,mitsamiouli,40,KM,1575306853,88,-11.38,43.28,78.8,8.05
342,katsuura,40,JP,1575306853,43,33.93,134.5,50.0,16.11
343,thunder bay,20,CA,1575306556,78,48.41,-89.26,28.99,6.93
344,ridgecrest,75,US,1575306754,86,35.62,-117.67,45.0,3.36
345,port lincoln,0,AU,1575306853,87,-34.72,135.86,54.25,13.06
346,begun,0,IN,1575306854,38,24.99,75.01,62.37,6.82
347,port elizabeth,90,US,1575306854,86,39.31,-74.98,41.0,13.87
348,roblin,86,CA,1575306854,88,51.23,-101.35,24.89,8.99
349,ballitoville,20,ZA,1575306854,83,-29.54,31.21,78.01,3.36
350,talwara,0,IN,1575306854,48,31.94,75.88,58.42,2.42
351,vao,22,EE,1575306854,91,59.1,26.19,27.18,5.61
352,pychas,0,RU,1575306854,89,56.5,52.44,14.0,1.01
353,uyuni,96,BO,1575306855,23,-20.46,-66.82,67.51,12.57
354,sarakhs,99,TM,1575306855,41,36.54,61.16,59.0,10.18
355,fairbanks,90,US,1575306745,92,64.84,-147.72,15.01,2.37
356,lumphat,100,KH,1575306855,69,13.5,106.97,69.64,7.85
357,vestmannaeyjar,90,IS,1575306855,100,63.44,-20.27,48.2,34.45
358,nadvoitsy,83,RU,1575306855,90,63.89,34.27,24.66,14.05
359,saint-philippe,90,CA,1575306856,54,45.36,-73.48,30.2,4.7
360,ossora,0,RU,1575306856,78,59.24,163.07,6.33,8.52
361,port blair,0,IN,1575306856,78,11.67,92.75,82.8,15.14
362,oum hadjer,34,TD,1575306856,13,13.3,19.7,78.67,9.86
363,hami,0,CN,1575306856,49,42.84,93.51,22.73,3.04
364,rio gallegos,75,AR,1575306793,39,-51.62,-69.22,64.4,17.22
365,gao,0,ML,1575306856,12,16.28,-0.04,76.59,1.54
366,saint-augustin,40,CA,1575306856,58,45.63,-73.98,28.99,6.93
367,lexington,90,US,1575306603,85,38.05,-84.5,37.99,8.05
368,hofn,90,IS,1575306857,93,64.25,-15.21,44.6,10.29
369,brandenburg,90,US,1575306857,80,38.0,-86.17,37.99,12.75
370,ottumwa,1,US,1575306857,68,41.02,-92.41,30.2,11.41
371,camrose,75,CA,1575306711,73,53.01,-112.84,27.0,4.7
372,broken hill,0,AU,1575306857,47,-31.97,141.45,57.2,12.75
373,gunjur,33,GM,1575306857,30,13.18,-16.76,96.8,4.7
374,samana,90,EC,1575306858,83,0.12,-76.97,82.4,6.93
375,tecpan,20,GT,1575306858,49,14.76,-90.99,71.6,23.04
376,hervey bay,32,AU,1575306858,88,-25.3,152.85,72.0,9.06
377,thyboron,56,DK,1575306858,78,56.7,8.21,37.0,20.36
378,bilibino,100,RU,1575306858,99,68.06,166.44,-19.52,4.05
379,antofagasta,40,CL,1575306858,68,-23.65,-70.4,69.01,13.87
380,sioux lookout,5,CA,1575306859,78,50.1,-91.92,17.6,3.36
381,atar,0,MR,1575306660,17,20.52,-13.05,83.75,12.21
382,kasangulu,40,CD,1575306860,58,-4.59,15.17,87.8,6.93
